Digit,Default FC(MSE),Default FC(SSIM),DIGC(MSE),DIGC(SSIM),FC with TV(MSE),FC with TV(SSIM)
0,0.445,0.1993,0.1859,0.4253,0.1975,0.3983
1,0.3258,0.1884,0.0755,0.611,0.086,0.5347
2,0.4398,0.1012,0.1396,0.4583,0.1527,0.395
3,0.3778,0.1765,0.0912,0.714,0.1123,0.4536
4,0.3999,0.1403,0.1404,0.4917,0.1547,0.4055
5,0.4087,0.1532,0.1452,0.4706,0.1363,0.4993
6,0.3553,0.2303,0.0875,0.6172,0.1062,0.5602
7,0.3899,0.1776,0.0793,0.5899,0.0904,0.4914
8,0.3773,0.1635,0.1212,0.5311,0.1287,0.4801
9,0.4089,0.1513,0.1299,0.5913,0.1154,0.4058
